LocusTag,Gene,Length,description,pI,mw,proteinLength,function,product,essential,ec,names,,,
new_1041733_1041928,S337,196,"new RNA feature, 5'UTR of dat
",,,,,5'UTR of dat,,,S337,,,
new_1268593_1268828,S435,236,"new RNA feature, intergenic region
",,,,,intergenic region,,,S435,,,
new_3386852_3387780_c,S1270,929,"new RNA feature, 3'UTR of yirB
",,,,,3'UTR of yirB,,,S1270,,,
BSU15940,smc,3558,"part of the [SW|condensin] complex, chromosomal origin condensation and segregation SMC protein",5.27,135.289,1186,segregation of replication origins,chromosome condensation and segregation SMC protein,yes,,"smc,ylqA",,,
new_839233_839338_c,S266,106,"new RNA feature, intergenic region
",,,,,intergenic region,,,S266,,,
new_3509781_3509830_c,S1307,50,"new RNA feature, 3'UTR of lutR
",,,,,3'UTR of lutR,,,S1307,,,
new_2161801_2162107_c,S768,307,"new RNA feature, intergenic region
",,,,,intergenic region,,,S768,,,
BSU00240,csfB,192,"anti-sigma factor, inhibitor of [[protein|SigG ]]and of [[protein|SigE]]",7.67,7.3026,64,control of [[protein|SigG ]]and [[protein|SigE ]]activity,inhibitor of [[protein|SigG ]]and [[protein|SigE]],no,,"csfB,gin,yaaM",,,
BSU09780,yheC,1089,ATP-binding spore coat protein,9.22,41.7118,363,unknown,ATP-binding spore coat protein,no,,yheC,,,
new_1571801_1571902_c,S551,102,"new RNA feature, 5'UTR of ylbJ
",,,,,5'UTR of ylbJ,,,S551,,,
BSU31670,yuxO,378,similar to thioesterase,6.47,13.6356,126,unknown,unknown,no,,"yuxO,srfB",,,
BSU31730,yuzC,366,spore coat protein,10.72,14.0472,122,protection of the spore,spore coat protein,no,,yuzC,,,
BSU13850,pfeT,1911,"Fe<sup>2+</sup> efflux pump, P<sub>1B4</sub>-type ATPase, protects the cell against iron intoxication",4.93,68.3859,637,protection against toxic iron,Fe<sup>2+</sup> efflux pump,no,3.6.3.5,"pfeT,ykvW,zosA",,,
new_1900515_1901611,S640,1097,"new RNA feature, intergenic region
",,,,,intergenic region,,,S640,,,
BSU13360,ykoP,549,unknown,10.37,21.4677,183,unknown,unknown,no,,ykoP,,,
new_1570575_1571849,S550,1275,"new RNA feature, intergenic region
",,,,,intergenic region,,,S550,,,
BSU15560,pyrE,648,orotate phosphoribosyltransferase,5.63,23.3751,216,pyrimidine biosynthesis,orotate phosphoribosyltransferase,no,2.4.2.10,"pyrE,pyrX",,,
new_3495702_3495768_c,S1306,67,"new RNA feature, 5'UTR of lutA
",,,,,5'UTR of lutA,,,S1306,,,
BSU12110,yjfA,471,unknown,9.49,16.7367,157,unknown,unknown,no,,yjfA,,,
new_667383_667465,S220,83,"new RNA feature, 5'UTR of gutB
",,,,,5'UTR of gutB,,,S220,,,
BSU20830,yopN,315,unknown,7.43,11.9932,105,unknown,unknown,no,,yopN,,,
BSU12170,yjgD,558,"general stress protein, survival of ethanol and paraquat stresses",6.72,21.1264,186,survival of stress conditions,unknown,no,,yjgD,,,
new_926651_926919_c,S289,269,"new RNA feature, independent transcript
",,,,,independent transcript,,,S289,,,
BSU04430,ydbD,819,"general stress protein, similar to manganese-containing catalase",4.86,30.1058,273,survival of ethanol stress,unknown,no,,ydbD,,,
BSU21340,yomJ,681,similar to phage-related immunity protein,6.1,25.0874,227,unknown,unknown,no,,yomJ,,,
BSU00560,spoVT,534,transcription activator and repressor of [[protein|SigG]]-dependent genes,4.68,19.598,178,regulation of forespore gene expression,transcriptional regulator,no,,"spoVT,yabL",,,
BSU10480,yhjE,621,unknown,10.35,23.1855,207,unknown,unknown,no,,yhjE,,,
BSU13290,ykzD,135,unknown,4.19,5.2812,45,unknown,unknown,no,,ykzD,,,
new_1923125_1923233,S663,109,"new RNA feature, 5'UTR of ccdA
",,,,,5'UTR of ccdA,,,S663,,,
BSU26330,yqdA,138,"unknown, skin element",10.2,5.1838,46,unknown,unknown,no,,"yqdA,yqcS",,,
new_2749037_2749259,S1013,223,"new RNA feature, 5'UTR of yraL
",,,,,5'UTR of yraL,,,S1013,,,
BSU19020,yobN,1338,similar to L-amino acid oxidase,7.04,50.4655,446,unknown,unknown,no,1.4.3.2,yobN,,,
BSU10730,yisI,168,"[[protein|Spo0A]]-P phosphatase, control of the [SW|phosphorelay]",5.12,6.5366,56,control of [SW|sporulation] initiation,[[protein|Spo0A]]-P phosphatase,no,,yisI,,,
new_3208192_3208279_c,S1190,88,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1190,,,
new_1192592_1192857,S398,266,"new RNA feature, intergenic region
",,,,,intergenic region,,,S398,,,
BSU32790,yusG,234,unknown,4.2,8.9203,78,unknown,unknown,no,,yusG,,,
BSU04020,yczH,555,unknown,8.89,20.9261,185,unknown,unknown,no,,yczH,,,
BSU31740,pdeH,1227,c-di-GMP degrading phosphodiesterase,5.36,47.7646,409,degradation of c-di-GMP,c-di-GMP degrading phosphodiesterase,no,3.1.3.71,"pdeH,yuxH, comB, yufA",,,
BSU14071,fadG,1728,fatty acid degradation,8.556,64,576,fatty acid degradation,unknown,no,,"fadG ,ykuG",,,
BSU28800,araA,1494,L-arabinose isomerase,5.47,56.3706,498,arabinose utilization,L-arabinose isomerase,no,5.3.1.4,araA,,,
BSU12220,yjiC,1176,macrolide glycosyltransferase,4.65,43.8269,392,synthesis of bacillaene,macrolide glycosyltransferase,no,,yjiC,,,
BSU03970,ycnL,351,unknown,9.64,12.8349,117,unknown,unknown,no,,ycnL,,,
new_3032765_3032908,S1130,144,"new RNA feature, 5'UTR of ytsP
",,,,,5'UTR of ytsP,,,S1130,,,
new_1150464_1151119,S381,656,"new RNA feature, independent transcript
",,,,,independent transcript,,,S381,,,
BSU19360,odhB,1251,"2-oxoglutarate dehydrogenase complex (dihydrolipoamide transsuccinylase, E2 subunit)",4.86,45.8267,417,TCA cycle,2-oxoglutarate dehydrogenase complex,no,2.3.1.61,"odhB,citM",,,
BSU22070,xpt,582,xanthine phosphoribosyltransferase,5.84,20.8937,194,purine salvage and interconversion,xanthine phosphoribosyltransferase,no,2.4.2.22,xpt,,,
new_3794010_3794074_c,S1430,65,"new RNA feature, 5'UTR of tsaC
",,,,,5'UTR of tsaC,,,S1430,,,
BSU01170,rplD,621,ribosomal protein,10.5,22.2451,207,translation,ribosomal protein L4,yes,,rplD,,,
BSU23380,lysA,1317,diaminopimelate decarboxylase,5.01,48.4107,439,biosynthesis of lysine,diaminopimelate decarboxylase,no,4.1.1.20,lysA,,,
BSU28930,lytS,1779,"two-component sensor kinase, control of pyruvate utilization",8.24,64.6809,593,control of pyruvate utilization,two-component sensor kinase,no,,lytS,,,
BSU15069,ylzH,183,unknown,10.211,7.2,61,unknown,unknown,-,,ylzH,,,
BSU00950,mrnC,429,RNase Mini-III,9.15,16.0876,143,maturation of 23S rRNA,RNase Mini-III,no,,"mrnC,yazC",,,
BSU19030,yobO,2418,similar to phage-related pre-neck appendage protein,5.57,87.5497,806,unknown,unknown,no,,yobO,,,
BSU30350,yttB,1191,similar to multidrug resistance protein,9.88,42.2923,397,unknown,unknown,no,,yttB,,,
BSU34910,hisD,1281,histidinol dehydrogenase,4.78,46.094,427,biosynthesis of histidine,histidinol dehydrogenase,no,1.1.1.23,hisD,,,
BSU05610,vmlR,1641,"F-type ATP-binding cassette protein, allosterically dissociates antibiotics (virginiamycin M, lincomycin) from their ribosomal binding sites",6.73,62.5663,547,"dissociation of antibiotics (virginiamycin M, lincomycin) from the ribosome",ABCF ATPase,no,,"vmlR,expZ",,,
new_2079086_2079196,S728,111,"new RNA feature, independent transcript
",,,,,independent transcript,,,S728,,,
new_2197860_2198069_c,S778,210,"new RNA feature, intergenic region
",,,,,intergenic region,,,S778,,,
BSU38140,qoxD,372,cytochrome aa3 quinol oxidase (subunit IV),5.94,13.5466,124,respiration,cytochrome aa3 quinol oxidase (subunit IV),no,1.10.3.-,"qoxD,ipa-40d",,,
BSU21750,sco,579,accessory lipoprotein required for assembly of the Cu(A) center of [[protein|CtaC|cytochrome c oxidase caa3]],4.81,21.5005,193,maturation of [[protein|CtaC|cytochrome c oxidase caa3]],synthesis of cytochrome oxidase protein,no,,"sco,ypmQ",,,
BSU37070,rpmE,198,ribosomal protein,9.16,7.3073,66,translation,ribosomal protein L31,no,,rpmE,,,
BSU17900,sirA,444,"[[category|Sporulation]] protein, inhibits [[category|DNA replication]] initiation in cells committed to [[category|Sporulation]], facilitates capture of <i>oriC</i> in the forespore",7.35,17.999,148,control of chromosome copy number,inhibitor of [[category|DNA replication]],no,,"sirA,yneE,yoxF",,,
BSU00600,yabP,300,required for [SW|sporulation] at a late stage,6.34,11.2645,100,[SW|sporulation],unknown,no,,yabP,,,
BSU07430,yfmL,1128,DEAD-box RNA helicase,9.6,42.0311,376,RNA helicase,DEAD-box RNA helicase,no,,yfmL,,,
BSU27710,tgt,1143,tRNA-guanine transglycosylase,6.15,43.55,381,tRNA modification,tRNA-guanine transglycosylase,no,2.4.2.29,tgt,,,
new_3733736_3733966_c,S1396,231,"new RNA feature, 5'UTR of ywzD
",,,,,5'UTR of ywzD,,,S1396,,,
BSU08290,lnrJ,1200,"two-component sensor kinase, involved in resistance to linearmycin",6.39,44.381,400,involved in resistance to linearmycin,two-component sensor kinase,no,,"lnrJ,yfiJ",,,
BSU08930,cspR,480,similar to tRNA (Um34/Cm34) methyltransferase,6.05,18.4429,160,translation,tRNA (Um34/Cm34) methyltransferase homolog,no,2.1.1.-,"cspR,ygaR, trmL",,,
BSU08280,yfiI,1179,similar to oxidoreductase,5.1,43.4231,393,unknown,unknown,no,,yfiI,,,
BSU22400,dinG,2793,ATP-dependent DNA helicase,5.82,105.832,931,response to DNA damage,ATP-dependent DNA helicase,no,,dinG,,,
BSU26320,yqaG,567,"similar to transcription regulator (Xre family), skin element",8.57,21.2063,189,unknown,unknown,no,,yqaG,,,
BSU14280,moeA,1290,molybdopterin molybdenumtransferase,5.61,46.457,430,nitrate respiration,molybdopterin molybdenumtransferase,no,2.10.1.1,moeA,,,
BSU14630,speA,1470,"arginine decarboxylase, required for biofilm formation",5.08,53.4171,490,"spermidine, polyamine biosynthesis",arginine decarboxylase,no,4.1.1.19,"speA,cad",,,
BSU20170,yosC,540,unknown,5.09,21.3159,180,unknown,unknown,no,,yosC,,,
BSU06620,ligA,2004,DNA ligase (NAD-dependent),4.71,74.6936,668,replication,DNA ligase (NAD-dependent),yes,6.5.1.2,"ligA,lig, yerG",,,
BSU39050,katE,2058,"catalase, general stress protein",5.84,77.3092,686,detoxification (degradation) of hydrogen peroxide,catalase 2,no,,"katE,katB",,,
BSU05390,ydfF,678,similar to transcriptional regulator ([SW|ArsR family]),10.02,25.4688,226,unknown,unknown,no,,ydfF,,,
BSU25990,yqbS,423,similar to phage-related protein,3.79,16.0745,141,unknown,unknown,no,,yqbS,,,
new_1780399_1780532,S612,134,"new RNA feature, independent transcript
",,,,,independent transcript,,,S612,,,
new_3255432_3256404,S1214,973,"new RNA feature, independent transcript
",,,,,independent transcript,,,S1214,,,
BSU36200,ywqI,258,unknown,5.2,9.471,86,unknown,unknown,no,,ywqI,,,
BSU39070,bglS,726,"endo-beta-1,3-1,4 glucanase",6.48,27.1186,242,lichenan degradation,"endo-beta-1,3-1,4 glucanase",no,3.2.1.73,"bglS,bgl,licS",,,
BSU22660,trpC,750,indole-3-glycerol-phosphate synthase,5.53,27.6893,250,biosynthesis of tryptophan,indole-3-glycerol-phosphate synthase,no,4.1.1.48,trpC,,,
BSU33610,rnr,2337,"RNase R, required for protection against paraquat stress",5.7,88.5594,779,nonspecific degradation of rRNA,exoribonuclease RNase R (EC 3.1.-.-),no,,"rnr,yvaJ",,,
BSU35500,degS,1155,"two-component sensor kinase for exoenzyme and competence regulation, kinase activity is activated in response to inhibition of flagellar rotation",5.99,44.7971,385,regulation of degradative enzyme and genetic competence,two-component sensor kinase,no,,"degS,sacU",,,
BSU32730,metQ,822,methionine [SW|ABC transporter] (binding lipoprotein),8.49,30.2032,274,methionine uptake,methionine [SW|ABC transporter] (binding lipoprotein),no,,"metQ,yusA",,,
new_3762479_3762776_c,S1409,298,"new RNA feature, 5'UTR of ywnF
",,,,,5'UTR of ywnF,,,S1409,,,
new_4215473_4215670,S1583,198,"new RNA feature, independent transcript
",,,,,independent transcript,,,S1583,,,
BSU35440,yvyF,417,similar to flagellar protein,7.98,16.0892,139,unknown,unknown,no,,"yvyF,yviB",,,
BSU36990,ywkF,285,sporulation protein,8.94,9.9308,95,unknown,sporulation protein,no,,ywkF,,,
BSU09620,yhdW,729,similar to glycerophosphodiester phosphodiesterase,9.54,27.3276,243,unknown,unknown,no,,yhdW,,,
BSU35450,comFC,687,late competence gene,8.85,26.2646,229,compentence,unknown,no,,comFC,,,
BSU11870,metI,1119,"O-succinylhomoserine lyase (L-cysteine, H<sub>2</sub>S, methanethiol, elimination)",5.02,41.5462,373,biosynthesis of methionine,"O-succinylhomoserine lyase (L-cysteine, H<sub>2</sub>S, methanethiol, elimination)",no,,"metI,yjcI",,,
BSU06269,ydzJ,156,unknown,10.122,6,52,unknown,unknown,-,,ydzJ,,,
BSU_misc_RNA_12,BSU_misc_RNA_12,,,,,,,,,,BSU_misc_RNA_12,,,
BSU06550,yecA,1389,similar to L-methionine and branched chain amino acids exporter,8.91,49.6584,463,unknown,unknown,no,,yecA,,,
BSU_misc_RNA_48,BSU_misc_RNA_48,,,,,,,,,,BSU_misc_RNA_48,,,
BSU38180,ywzA,147,general stress protein,12.49,4.8579,49,unknown,unknown,no,,ywzA,,,
BSU31630,mrpD,1479,"H<sup>+</sup> transporter subunit of the Na<sup>+</sup>/H<sup>+</sup> antiporter, multiple resistance and pH homeostasis",9.49,53.211,493,sodium export,Na<sup>+</sup>/H<sup>+</sup> antiporter subunit,yes,,"mrpD,yufD",,,
new_1211372_1211476,S403,105,"new RNA feature, 5'UTR of appD
",,,,,5'UTR of appD,,,S403,,,
BSU04650,ndoAI,279,"antitoxin, antagonist for EndoA",6.14,10.4078,93,inhibition of NdoA,antitoxin,no,,"ndoAI,ydcD, mazE",,,
BSU08020,yfjO,1398,similar to ribosomal RNA methyltransferase,9.81,51.9682,466,unknown,putative rRNA methyltransferase,no,,yfjO,,,
new_4125593_4125741_c,S1543,149,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1543,,,
new_649718_649826,S207,109,"new RNA feature, 5'UTR of groES
",,,,,5'UTR of groES,,,S207,,,
BSU03789,yczN,111,putative toxin,5.275,3.7,37,unknown,unknown,no,,yczN,,,
new_3529856_3529913_c,S1313,58,"new RNA feature, 5'UTR of epsA
",,,,,5'UTR of epsA,,,S1313,,,
BSU11460,oppD,1074,oligopeptide [SW|ABC transporter ](ATP-binding protein),6.03,39.6068,358,"initiation of [SW|sporulation], competence development",oligopeptide [SW|ABC transporter ](ATP-binding protein),no,,"oppD,spo0KD",,,
BSU22590,ypiA,1269,unknown,4.11,48.1574,423,unknown,unknown,no,,ypiA,,,
new_1915794_1916005_c,S656,212,"new RNA feature, 3'UTR of yndM
",,,,,3'UTR of yndM,,,S656,,,
BSU04110,lipC,639,"spore coat protein, phospholipase implicated in spore germination",5.84,23.4586,213,spore germination,spore coat phospholipase B,no,,"lipC,ycsK",,,
new_3809980_3810619_c,S1440,640,"new RNA feature, 5'UTR of spo0F
",,,,,5'UTR of spo0F,,,S1440,,,
new_3741593_3741676,S1400,84,"new RNA feature, 3'UTR of ywpF
",,,,,3'UTR of ywpF,,,S1400,,,
BSU05240,ydeL,1389,similar to transcriptional regulator ([SW|MocR/ GabR family]),9.22,53.3602,463,unknown,unknown,no,,ydeL,,,
BSU30280,amyD,909,probably [SW|ABC transporter] for melibiose (permease),9.08,34.0101,303,probably melibiose uptake,[SW|ABC transporter] (permease),no,,amyD,,,
new_252315_252458,S89,144,"new RNA feature, intergenic region
",,,,,intergenic region,,,S89,,,
BSU_rRNA_8,rrnJ-5S,,5S rRNA,,,,translation,ribosomal RNA-5S,no,,rrnJ-5S,,,
new_3744236_3744320_c,S1401,85,"new RNA feature, 5'UTR of ywpB
",,,,,5'UTR of ywpB,,,S1401,,,
BSU22230,ptsA,504,[[category|Phosphotransferase system|PTS]] EIIA component,5.29,17.7922,168,"uptake and phosphorylation of maltose, N-acetylglucosamine, sucrose, and trehalose",[[category|Phosphotransferase system|PTS]] EIIA component,no,,"ptsA,ypqE",,,
BSU12930,dppB,924,dipeptide [SW|ABC transporter] (permease),9.94,33.9023,308,uptake of dipeptides,dipeptide [SW|ABC transporter] (permease),no,,"dppB,dciAB",,,
new_4039160_4039225_c,S1515,66,"new RNA feature, 5'UTR of yxiB
",,,,,5'UTR of yxiB,,,S1515,,,
BSU39950,yxaJ,426,unknown,9.06,14.8452,142,unknown,unknown,no,,yxaJ,,,
BSU09210,yhcT,906,similar to pseudouridylate synthase,9.64,33.5878,302,RNA modification,putative [SW|sporulation]-specific pseudouridylate synthase,no,,yhcT,,,
BSU38390,ywbA,1332,"similar to [[category|Phosphotransferase system|PTS]], putative EIIC component",7.89,47.4845,444,unknown,unknown,no,,"ywbA,ipa-16d",,,
new_2780331_2780484_c,S1029,154,"new RNA feature, independent transcript
",,,,,independent transcript,,,S1029,,,
BSU13270,ykoI,678,unknown,7.1,24.7471,226,unknown,unknown,no,,ykoI,,,
BSU15730,fmt,951,methionyl-tRNA formyltransferase,5.62,34.4802,317,formylation of Met-tRNA(fMet),methionyl-tRNA formyltransferase,no,2.1.2.9,"fmt,yloL",,,
BSU26510,yrkH,885,unknown,4.85,32.7349,295,unknown,unknown,no,,yrkH,,,
BSU40390,yycH,1365,"negative effector of [[protein|WalK]], controls cell wall metabolism",5.59,52.0498,455,control of cell wall metabolism,negative effector of [[protein|WalK]],no,,yycH,,,
new_2225995_2226059,S800,65,"new RNA feature, 5'UTR of yonK
",,,,,5'UTR of yonK,,,S800,,,
new_3631609_3631729_c,S1350,121,"new RNA feature, 5'UTR of yvyD
",,,,,5'UTR of yvyD,,,S1350,,,
BSU14720,ylaB,267,unknown,4.79,10.6998,89,unknown,unknown,no,,ylaB,,,
new_2529726_2529888_c,S918,163,"new RNA feature, intergenic region
",,,,,intergenic region,,,S918,,,
BSU33760,sdpB,969,"membrane protein, required for SdpC toxin maturation",9.52,37.2952,323,maturation of the SdpC toxin,unknown,no,,"sdpB,yvaX",,,
BSU32830,fadA,1173,acetyl-CoA C-acyltransferase,5.18,40.963,391,fatty acid degradation,acetyl-CoA C-acyltransferase,no,2.3.1.16,"fadA,yusK",,,
new_1229759_1229848,S412,90,"new RNA feature, intergenic region
",,,,,intergenic region,,,S412,,,
BSU39810,csbC,1383,"general stress protein, similar to sugar-H<sup>+</sup> symporter, required for protection against paraquat stress",9.94,49.9742,461,protection against paraquat stress,putative sugar-H<sup>+</sup> symporter,no,,"csbC,yxcC",,,
new_3774188_3774399_c,S1418,212,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1418,,,
BSU32040,yuiF,1326,membrane protein,5.93,45.7748,442,unknown,unknown,no,,yuiF,,,
BSU37240,ywiE,1500,"minor cardiolipin synthetase, general stress protein, required for protection against paraquat stress",8.38,58.0776,500,"phospholipiid biosynthesis, protection against paraquat stress",minor cardiolipin synthetase,no,,ywiE,,,
BSU02070,csgA,246,required for the ability of the germinating spore to resume vegetative growth,4.69,9.7003,82,spore germination,unknown,no,,csgA,,,
new_3451771_3451862_c,S1287,92,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1287,,,
BSU08320,lnrM,1188,"similar to [SW|ABC transporter] (membrane protein), involved in resistance to linearmycin",9.62,42.9532,396,resistance to linearmycin,[SW|ABC transporter] (membrane protein),no,,yfiM,,,
BSU17280,ymaD,450,putative peroxiredoxin,5.2,16.1288,150,protection against oxidative stress,putative peroxiredoxin,no,,ymaD,,,
new_1168918_1169042,S393,125,"new RNA feature, 5'UTR of yisY
",,,,,5'UTR of yisY,,,S393,,,
BSU05600,ydgE,471,putative N-acetyltransferase,5.09,18.2296,157,unknown,unknown,no,,ydgE,,,
BSU13520,ykrP,1020,unknown,9.99,39.2545,340,unknown,unknown,no,,ykrP,,,
BSU11120,yitT,840,"general stress protein, required for protection against paraquat stress",9.5,30.3841,280,protection against paraquat stress,unknown,no,,"yitT,yuxA",,,
new_2552307_2552445,S924,139,"new RNA feature, 5'UTR of sinI
",,,,,5'UTR of sinI,,,S924,,,
BSU07410,yfmN,153,unknown,9.02,5.7888,51,unknown,unknown,no,,yfmN,,,
BSU33250,rsiO,408,anti-Sig(SigO-RsoA),9.43,15.2194,136,control of Sig(SigO-RsoA) activity,anti-Sig(SigO-RsoA),no,,"rsiO,yvrL",,,
BSU32630,yurR,1116,similar to glycine oxidase,6.27,39.2921,372,unknown,unknown,no,,yurR,,,
BSU27490,yrrB,618,unknown,4.33,22.9445,206,unknown,unknown,no,,yrrB,,,
new_1386984_1387035_c,S472,52,"new RNA feature, 5'UTR of ispA
",,,,,5'UTR of ispA,,,S472,,,
BSU10750,yisK,903,"modulator of [[protein|Mbl]] activity, similar to 5-oxo-1,2,5-tricarboxilic-3-penten acid decarboxylase",5.45,32.9925,301,control of [SW|cell division],modulator of [[protein|Mbl]] activity,no,,yisK,,,
BSU09520,sigM,489,"[SW|RNA polymerase] ECF-type [SW|sigma factor] SigM, required for adaptation to inhibitors of peptidoglycan synthesis",6.77,19.2635,163,adaptation to inhibitors of peptidoglycan synthesis,[SW|RNA polymerase] ECF-type [SW|sigma factor] SigM,no,,"sigM,yhdM",,,
BSU15260,ylxX,705,unknown,8.97,26.3467,235,unknown,unknown,no,,ylxX,,,
BSU39600,yxeC,396,unknown,10.1,15.5421,132,unknown,unknown,no,,yxeC,,,
BSU11382,appA/2,1164,"oligopeptide ABC transporter, inactive pseudogene in strain 168",,,388,unknown,oligopeptide ABC transporter,no,,appA/2,,,
BSU00250,xpaC,612,hydrolysis of 5-bromo-4-chloroindolyl phosphate,10.15,23.8122,204,unknown,unknown,no,,xpaC,,,
new_1454806_1455063,S504,258,"new RNA feature, intergenic region
",,,,,intergenic region,,,S504,,,
new_2625913_2626090_c,surC,178,"new RNA feature, intergenic region
",,,,,intergenic region,,,S959,,,
new_1072963_1073105_c,S351,143,"new RNA feature, 3'UTR of scoC
",,,,,3'UTR of scoC,,,S351,,,
BSU21190,yomX,648,unknown,6.61,24.0326,216,unknown,unknown,no,,yomX,,,
BSU_misc_RNA_20,BSU_misc_RNA_20,,,,,,,,,,BSU_misc_RNA_20,,,
BSU30180,ytbQ,603,unknown,5.15,22.5864,201,unknown,unknown,no,,ytbQ,,,
new_3574321_3577707,S1326,3387,"new RNA feature, independent transcript
",,,,,independent transcript,,,S1326,,,
BSU20040,yosP,1795,similar to ribonucleoside-diphosphate reductase (beta subunit),6.09,22.5138,598,unknown,unknown,no,,"yosP,nrdF",,,
BSU25569,yqzM,132,unknown,5.411,4.8,44,unknown,unknown,-,,yqzM,,,
BSU39150,yxiJ,294,unknown,5.88,11.8294,98,unknown,unknown,no,,yxiJ,,,
BSU10420,comK,576,competence transcription factor (CTF),7.67,22.2838,192,regulation of [SW|genetic competence] and DNA uptake,competence transcription factor (CTF),no,,comK,,,
new_3471824_3472588,S1299,765,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1299,,,
new_2713803_2713911_c,S993,109,"new RNA feature, intergenic region
",,,,,intergenic region,,,S993,,,
new_1538693_1539646,S537,954,"new RNA feature, 3'UTR of ykzC
",,,,,3'UTR of ykzC,,,S537,,,
BSU23616,mciZ,,FtsZ inhibition peptide,,4,,inhibits GTPase activity of FtsZ and Z ring formation during sporulation,FtsZ inhibition peptide,no,,"mciZ,S896",,,
BSU25160,ispH,942,"(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 7th step in the MEP pathway of isoprenoid biosynthesis",5.61,34.7701,314,MEP pathway of isoprenoid biosynthesis,(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase,yes,1.17.1.2,"ispH,yqfP",,,
BSU30390,bceS,1002,"two-component sensor kinase, regulation of [[gene|bceA]]-[[gene|bceB ]]in response to bacitracin, plectasin, mersacidin and actagardine",5.94,38.6089,334,resistance against  toxic peptides,two-component sensor kinase,no,,"bceS,ytsB",,,
